"","A1-6854_S1","A3-6830_S17","B1-6855_S2","B2-6813_S10","B3-6832_S18","C1-6872_S3","C2-6821_S11","C3-6835_S19","D1-6863_S4","D2-6822_S12","D3-6843_S20","E1-6870_S5","E2-6826_S13","F1-6803_S6","F2-6845_S14","G1-6806_S7","G2-6847_S15_1","H1-6807_S8","H2-6848_S16"
"DN372303",4,9,17,19,16,10,16,21,44,19,21,10,24,11,15,16,17,5,13
"DN372308",1,3,2,1,1,0,2,3,2,2,3,3,7,4,0,2,3,3,2
"DN372324",0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,2,0,0
"DN372328",0,3,6,1,0,2,0,0,7,1,3,0,4,1,0,0,3,0,1
"DN372336",0,1,0,2,1,1,1,1,17,0,0,0,2,0,0,0,2,0,0
"DN372341",18,53,230,4,27,6,20,11,88,199,109,21,322,3,7,0,50,3,19
"DN372348",0,2,1,1,2,0,0,2,3,2,3,0,0,4,1,0,1,0,1
"DN372377",1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
"DN372383",0,2,0,0,0,0,0,0,2,0,2,0,5,1,0,0,1,1,3
"DN372390",2,13,18,6,14,16,8,6,49,11,22,8,19,7,8,20,8,8,1
"DN372415",5,9,16,10,7,6,10,2,5,44,11,1,16,8,3,7,8,3,3
"DN372422",0,0,0,0,0,1,1,0,10,0,0,0,0,3,0,0,0,0,0
"DN372430",0,0,3,2,2,1,0,0,2,2,2,0,1,0,0,2,0,1,0
"DN372456",12,5,11,7,9,2,10,2,4,8,9,3,10,14,8,5,5,5,7
"DN372464",4,2,1,2,2,0,0,2,4,0,0,1,4,0,0,0,0,2,1
"DN372480",0,2,2,0,0,0,1,0,1,2,1,0,11,0,1,1,1,2,0
"DN372492",0,3,1,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0
"DN372494",1,0,1,2,2,1,3,0,5,0,1,2,2,1,1,0,2,0,0
"DN372495",0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0
"DN372499",0,0,5,1,3,1,1,3,3,2,2,0,3,2,0,2,2,0,1
"DN372502",0,1,3,0,1,0,3,3,6,4,1,4,2,1,1,0,1,0,0
"DN372523",0,0,0,0,3,0,2,0,0,0,0,0,2,0,0,0,4,0,0
"DN372537",0,1,0,0,0,2,0,0,3,0,1,0,0,0,1,0,1,0,0
"DN372545",4,6,7,2,50,4,11,17,10,24,17,1,20,18,17,1,32,4,36
"DN372572",2,1,0,2,1,0,0,0,2,0,1,0,0,0,0,0,0,2,0
"DN372574",0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0
"DN372620",13,13,34,17,41,8,30,23,16,45,37,17,81,26,19,7,75,9,27
"DN372651",0,1,3,1,2,0,1,1,1,0,6,0,4,0,0,0,5,0,0
"DN372652",0,0,4,0,3,0,1,0,1,4,0,0,4,0,0,0,0,3,4
"DN372681",0,1,0,1,0,1,1,0,1,2,0,0,1,0,0,0,4,0,2
"DN372692",2,9,4,0,2,0,8,3,0,14,2,1,19,4,5,2,6,0,2
"DN372703",0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"DN372736",11,8,5,2,54,44,25,17,163,12,45,16,12,22,38,20,15,11,27
"DN372745",4,5,11,10,5,3,0,5,10,0,10,3,0,6,5,6,1,5,3
"DN372767",0,0,0,1,0,2,2,0,0,1,2,0,0,2,0,0,0,1,0
"DN372786",0,0,0,3,0,0,1,0,0,6,0,0,2,0,1,2,1,0,1
"DN372793",0,1,0,1,2,2,0,1,0,2,2,0,1,1,1,0,1,0,0
"DN372794",0,3,1,0,3,1,0,0,0,0,5,0,0,0,0,0,0,0,0
"DN372801",3,6,7,2,3,3,0,2,5,5,1,1,4,0,4,1,7,2,0
"DN372803",6,1,10,4,3,16,2,1,15,4,6,5,11,25,4,34,1,19,1
"DN372816",4,8,2,5,6,7,1,7,4,3,1,1,2,9,0,5,2,10,3
"DN372840",0,1,0,0,2,0,1,0,0,1,1,0,2,0,0,1,2,0,0
"DN372850",0,0,0,0,2,1,0,0,0,0,0,0,5,0,0,1,0,0,0
"DN372975",1,0,3,1,0,0,0,3,1,1,1,0,0,0,0,0,0,1,0
"DN372991",3,2,1,5,1,0,2,2,3,4,3,0,8,2,0,1,2,0,0
"DN372999",1,0,0,0,0,0,1,0,3,0,1,0,1,0,0,1,0,0,0
"DN373017",0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,1,0,0,0
"DN373027",1,9,0,0,5,0,1,0,4,0,2,0,0,2,3,0,0,7,0
"DN373053",622,6,1239,135,384,253,259,122,2151,1329,1446,484,440,3,166,71,181,0,80
"DN373061",0,1,2,0,0,0,2,0,2,0,4,1,1,1,0,2,0,1,0
"DN373063",2,0,1,0,0,0,2,0,2,0,11,0,0,2,0,0,0,1,0
"DN373084",0,0,0,0,1,0,0,0,2,0,1,0,2,1,1,1,2,0,1
"DN373099",5,0,6,2,1,2,3,2,2,0,1,0,2,3,1,3,1,0,2
"DN373136",0,0,1,0,0,1,0,0,1,2,1,0,1,0,0,0,0,1,0
"DN373148",2,5,14,11,10,0,12,3,13,13,16,2,53,10,6,8,7,14,14
"DN373153",0,1,0,0,1,0,1,2,1,8,3,1,7,3,0,0,0,3,1
"DN373170",0,0,1,1,3,0,2,2,2,9,2,0,1,0,1,0,3,0,1
"DN373176",6,8,14,23,8,2,11,1,4,26,13,4,31,10,5,7,7,8,23
"DN373177",0,1,7,3,6,1,0,1,6,5,4,0,9,4,1,0,0,7,1
"DN373189",696,479,656,344,714,764,424,741,832,265,818,537,594,778,548,583,634,523,278
"DN373194",0,0,1,0,1,0,0,0,0,4,0,0,3,0,0,0,0,0,1
"DN373203",4,10,12,6,4,10,6,3,15,4,7,2,28,5,3,9,2,5,1
"DN373216",0,4,1,5,0,0,1,0,0,5,5,0,5,3,2,0,1,0,0
"DN373251",0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,1,0,0,0
"DN373267",0,0,2,0,1,0,1,0,3,0,1,1,1,1,0,0,0,1,4
"DN373271",0,1,1,0,2,0,2,1,0,2,2,0,0,1,1,0,2,0,1
"DN373278",0,1,0,2,0,3,1,1,7,2,3,3,1,0,2,1,1,0,0
"DN373279",265,86,93,206,194,318,282,276,202,36,142,91,75,313,370,282,231,288,270
"DN373281",0,2,2,0,3,0,0,4,5,0,1,1,0,0,0,2,1,0,2
"DN373284",0,1,5,1,0,0,0,1,0,3,1,1,1,0,2,0,1,0,1
"DN373291",7,13,13,8,11,7,2,3,19,7,11,4,10,8,1,15,2,8,0
"DN373345",0,3,7,2,0,0,5,3,9,12,0,0,9,2,0,2,3,0,2
"DN373346",0,0,1,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,2
"DN373348",0,0,0,0,2,0,0,0,3,1,1,0,2,0,0,0,0,0,1
"DN373352",4,4,18,14,9,14,2,3,23,3,15,6,21,4,3,4,6,2,4
"DN373364",0,1,0,0,1,1,0,0,1,0,0,1,4,0,0,0,1,1,0
"DN373370",0,3,0,0,3,1,1,0,0,0,3,1,1,1,2,3,0,2,0
"DN373377",1,0,0,2,0,0,0,0,0,2,2,0,0,1,0,1,0,2,0
"DN373382",0,0,0,2,2,0,4,4,0,17,1,0,5,0,10,8,0,0,9
"DN373384",2,0,0,1,4,1,1,0,1,2,2,0,0,4,1,3,1,2,0
"DN373389",0,1,1,1,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0
"DN373408",6,3,11,3,5,5,1,3,8,3,8,3,2,4,1,5,0,2,3
"DN373423",0,1,6,0,1,4,0,5,5,0,2,2,0,0,2,0,1,0,1
"DN373424",0,0,1,19,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"DN373454",1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DN373457",47,48,112,21,30,65,12,55,98,24,85,51,52,19,18,18,27,10,11
"DN373491",4,12,2,5,1,1,8,1,5,8,11,0,10,6,0,31,2,8,0
"DN373503",12,17,23,25,30,18,32,6,27,43,23,6,39,37,17,27,17,19,23
"DN373509",4,15,7,12,4,5,3,4,7,13,15,2,21,4,2,2,4,3,1
"DN373522",2,2,1,0,1,0,0,4,5,1,2,0,0,0,1,0,0,0,0
